cluster,artist,title,method,notes
"Cluster A","Wreckx N Effect","Rump Shaker","A",""
"Cluster D","Van Halen","Right Now","A",""
"Cluster A","US3","Cantaloop","A",""
"Cluster A","Sir Mix A Lot","Baby Got Back","A",""
"Cluster G","Ugly Kid Joe","Everything About You","A",""
"Cluster B","Red Hot Chili Peppers","Give It Away","A",""
"Cluster B","REM","Man On The Moon","A",""
"Cluster C","Prince & The New Power Generation","7","A",""
"Cluster E","Alan Jackson","Chattahoochee","A",""
"Cluster C","Captain Hollywood Project","More & More","A",""
"Cluster E","Billy Ray Cyrus","Achy Breaky Heart","A",""
"Cluster C","2 Unlimited","Twilight Zone","A",""
"Cluster B","Alice In Chains","Down In A Hole (MTV 1996)","A",""
"Cluster F","Annie Lennox","Walking on Broken Glass","A",""
"Cluster A","Arrested Development","Tennessee","A",""
"Cluster C","Bizarre Inc.","I'm Gonna Get You","A",""
"Cluster A","Bobby Brown","Humpin' Around","A",""
"Cluster D","Bon Jovi","Bed Of Roses","A",""
"Cluster C","C+C Music Factory","Gonna Make You Sweat (Everybody Dance Now)","A",""
"Cluster G","Cher with Beavis & Butt-head","I Got You Babe","A",""
"Cluster B","Cranberries","Dreams","A",""
"Cluster A","Kris Kross","Jump","A",""
"Cluster B","Cure","Friday I'm In Love","A",""
"Cluster F","En Vogue","Free Your Mind","A",""
"Cluster D","Eric Clapton","Tears In Heaven","A",""
"Cluster D","Guns N  Roses","November Rain","A",""
"Cluster C","K.W.S.","Please Don't Go","A",""
"Cluster A","House Of Pain","Jump Around","A",""
"Cluster F","Michael Jackson","Remember The Time","A",""
"Cluster E","John Anderson","Seminole Wind","A",""
"Cluster G","Madonna","Erotica","A",""
"Cluster F","Jon Secada","Just Another Day","A",""
"Cluster A","Mary J. Blige","Real Love","A",""
"Cluster D","Meat Loaf","I'd Do Anything For Love","A",""
"Cluster A","N2Deep","Back To The Hotel","A",""
"Cluster A","Naughty By Nature","Hip Hop Hooray","A",""
"Cluster D","Neil Young","Harvest Moon","A",""
"Cluster A","Paperboy","Ditty","A",""
"Cluster B","Nirvana","Lithium","A",""
"Cluster C","Snap!","Rhythm Is A Dancer","A",""
"Cluster C","Robin S.","Show Me Love","A",""
"Cluster A","Snow","Informer","A",""
"Cluster E","Confederate Railroad","Trashy Women","A",""
"Cluster B","Radiohead","Creep","A",""
"Cluster D","Sophie B. Hawkins","Damn I Wish I Was Your Lover","A",""
"Cluster A","Tony! Toni! Tone!","Feels Good","A",""
"Cluster B","Stone Temple Pilots","Creep","A",""
"Cluster B","Spin Doctors","Little Miss Can't Be Wrong","A",""
