cluster,artist,title,method,notes
"Cluster H","Randy Houser","Runnin' Outta Moonlight","C","seed"
"Cluster D","Willie Nelson","Mammas Don't Let Your Babies Grow Up To Be Cowboys","C","seed"
"Cluster E","Warren Zevon","Werewolves Of London","C",""
"Cluster A","Walter Egan","Magnet and Steel","C",""
"Cluster A","Andrew Gold","Thank You For Being A Friend","C",""
"Cluster F","ABBA","Take A Chance On Me","C",""
"Cluster F","10cc","Dreadlock Holiday","C",""
"Cluster A","Cheap Trick","Surrender","C",""
"Cluster B","Boney M.","Rivers of Babylon","C","seed"
"Cluster A","Billy Joel","Only The Good Die Young","C",""
"Cluster A","Barry Manilow","Copacabana","C",""
"Cluster B","Bee Gees","Tragedy","C",""
"Cluster C","Blondie","Heart Of Glass","C",""
"Cluster A","Bob Seger","Still The Same","C","seed"
"Cluster A","Burton Cummings","Break It To Them Gently","C",""
"Cluster A","Eddie Money","Baby Hold On","C",""
"Cluster C","DEVO","(I Can't Get No) Satisfaction","C","seed"
"Cluster B","Chic","Le Freak","C",""
"Cluster B","Earth, Wind & Fire","September","C",""
"Cluster A","Dire Straits","Sultans Of Swing","C",""
"Cluster E","Frankie Valli","Grease","C",""
"Cluster D","Exile","Kiss You All Over","C",""
"Cluster A","Electric Light Orchestra","Sweet Talkin' Woman","C",""
"Cluster A","Gerry Rafferty","Baker Street","C",""
"Cluster A","Kenny Rogers","The Gambler","C",""
"Cluster A","Joe Walsh","Life's Been Good","C",""
"Cluster A","Kiss","Rock And Roll All Night (Live)","C",""
"Cluster E","Steve Martin","King Tut (SNL)","C","seed"
"Cluster F","Linda Ronstadt","Just One Look","C","seed"
"Cluster A","Little River Band","Lady 1978","C",""
"Cluster A","Meat Loaf","Two Out Of Three Ain t Bad","C",""
"Cluster A","Nicolette Larson","Lotta Love","C",""
"Cluster C","Nick Gilder","Hot Child In The City","C",""
"Cluster D","Olivia Newton John","You Are The One That I Want","C",""
"Cluster A","Queen","Bicycle Race (NSFW)","C",""
"Cluster C","Ramones","I Wanna Be Sedated","C",""
"Cluster A","REO Speedwagon","Time For Me To Fly","C",""
"Cluster B","Rolling Stones","Miss You","C",""
"Cluster E","Sha Na Na","Born To Hand Jive","C",""
"Cluster D","Suzi Quatro","Stumblin' in","C",""
"Cluster A","Styx","Fooling Yourself","C",""
"Cluster B","Village People","YMCA","C",""
"Cluster A","Van Halen","Runnin' With The Devil","C",""
"Cluster C","Talking Heads","Take Me To The River","C",""
"Cluster A","Trooper","Raise A Little Hell","C",""
"Cluster G","The Beatles","A Day In The Life","C","seed"
"Cluster A","Three Dog Night","Shambala","C",""
"Cluster G","The Who","Baba O'riley","C",""
"Cluster C","The Cars","Just What I Needed","C",""
